,codename,political_parties,votes,election_id
0,almeria,PSOE,98924,2
1,cadiz,PSOE,210131,2
2,cordoba,PSOE,163000,2
3,granada,PSOE,177478,2
4,huelva,PSOE,97766,2
5,jaen,PSOE,152932,2
6,malaga,PSOE,251908,2
7,sevilla,PSOE,416543,2
8,huesca,PSOE,41354,2
9,teruel,PSOE,25629,2
10,zaragoza,PSOE,173557,2
11,asturias,PSOE,207586,2
12,illesbalears,PSOE,136698,2
13,laspalmas,PSOE,154342,2
14,santacruzdetenerife,PSOE,141132,2
15,cantabria,PSOE,90534,2
16,albacete,PSOE,75005,2
17,ciudadreal,PSOE,100720,2
18,cuenca,PSOE,42654,2
19,guadalajara,PSOE,42521,2
20,toledo,PSOE,123561,2
21,avila,PSOE,26503,2
22,burgos,PSOE,64287,2
23,leon,PSOE,95536,2
24,palencia,PSOE,33209,2
25,salamanca,PSOE,59331,2
26,segovia,PSOE,26088,2
27,soria,PSOE,16513,2
28,valladolid,PSOE,97244,2
29,zamora,PSOE,34628,2
30,barcelona,PSOE,769548,2
31,girona,PSOE,65422,2
32,lleida,PSOE,37637,2
33,tarragona,PSOE,89650,2
34,badajoz,PSOE,157164,2
35,caceres,PSOE,93016,2
36,acoruña,PSOE,212665,2
37,lugo,PSOE,66441,2
38,ourense,PSOE,63304,2
39,pontevedra,PSOE,185785,2
40,madrid,PSOE,1031534,2
41,navarra,PSOE,94551,2
42,araba_alava,PSOE,39722,2
43,gipuzkoa,PSOE,77720,2
44,bizkaia,PSOE,136547,2
45,murcia,PSOE,190540,2
46,larioja,PSOE,57307,2
47,alicante_alacant,PSOE,259404,2
48,castellon_castello,PSOE,92379,2
49,valencia_valencia,PSOE,394703,2
50,ceuta,PSOE,13800,2
51,melilla,PSOE,6989,2
52,almeria,PP,73952,2
53,cadiz,PP,99394,2
54,cordoba,PP,89203,2
55,granada,PP,96588,2
56,huelva,PP,44909,2
57,jaen,PP,75885,2
58,malaga,PP,144562,2
59,sevilla,PP,162891,2
60,huesca,PP,25149,2
61,teruel,PP,18566,2
62,zaragoza,PP,99527,2
63,asturias,PP,112180,2
64,illesbalears,PP,87352,2
65,laspalmas,PP,88313,2
66,santacruzdetenerife,PP,76491,2
67,cantabria,PP,77902,2
68,albacete,PP,51817,2
69,ciudadreal,PP,69559,2
70,cuenca,PP,31997,2
71,guadalajara,PP,28618,2
72,toledo,PP,87134,2
73,avila,PP,32001,2
74,burgos,PP,53926,2
75,leon,PP,68530,2
76,palencia,PP,31332,2
77,salamanca,PP,60154,2
78,segovia,PP,24853,2
79,soria,PP,13887,2
80,valladolid,PP,78433,2
81,zamora,PP,32750,2
82,barcelona,PP,155935,2
83,girona,PP,12377,2
84,lleida,PP,11153,2
85,tarragona,PP,21376,2
86,badajoz,PP,83278,2
87,caceres,PP,57195,2
88,acoruña,PP,172799,2
89,lugo,PP,67191,2
90,ourense,PP,67020,2
91,pontevedra,PP,144290,2
92,madrid,PP,705119,2
93,navarra,PP,0,2
94,araba_alava,PP,24385,2
95,gipuzkoa,PP,20797,2
96,bizkaia,PP,49859,2
97,murcia,PP,180163,2
98,larioja,PP,47947,2
99,alicante_alacant,PP,179056,2
100,castellon_castello,PP,63756,2
101,valencia_valencia,PP,255868,2
102,ceuta,PP,8147,2
103,melilla,PP,8087,2
104,almeria,Cs,56268,2
105,cadiz,Cs,131567,2
106,cordoba,Cs,79978,2
107,granada,Cs,90935,2
108,huelva,Cs,44842,2
109,jaen,Cs,61413,2
110,malaga,Cs,159316,2
111,sevilla,Cs,187243,2
112,huesca,Cs,24568,2
113,teruel,Cs,15357,2
114,zaragoza,Cs,115651,2
115,asturias,Cs,104688,2
116,illesbalears,Cs,90340,2
117,laspalmas,Cs,84015,2
118,santacruzdetenerife,Cs,71667,2
119,cantabria,Cs,54361,2
120,albacete,Cs,43835,2
121,ciudadreal,Cs,50733,2
122,cuenca,Cs,16467,2
123,guadalajara,Cs,26817,2
124,toledo,Cs,69678,2
125,avila,Cs,19102,2
126,burgos,Cs,43533,2
127,leon,Cs,50945,2
128,palencia,Cs,16843,2
129,salamanca,Cs,43580,2
130,segovia,Cs,18460,2
131,soria,Cs,8501,2
132,valladolid,Cs,67775,2
133,zamora,Cs,18729,2
134,barcelona,Cs,373820,2
135,girona,Cs,34009,2
136,lleida,Cs,19150,2
137,tarragona,Cs,52395,2
138,badajoz,Cs,75583,2
139,caceres,Cs,42452,2
140,acoruña,Cs,81677,2
141,lugo,Cs,17812,2
142,ourense,Cs,20689,2
143,pontevedra,Cs,63867,2
144,madrid,Cs,792203,2
145,navarra,Cs,0,2
146,araba_alava,Cs,7082,2
147,gipuzkoa,Cs,11892,2
148,bizkaia,Cs,21392,2
149,murcia,Cs,150289,2
150,larioja,Cs,32181,2
151,alicante_alacant,Cs,177691,2
152,castellon_castello,Cs,51017,2
153,valencia_valencia,Cs,254360,2
154,ceuta,Cs,4546,2
155,melilla,Cs,4351,2
156,almeria,PODEMOS-IU-EQUO,28934,2
157,cadiz,PODEMOS-IU-EQUO,110807,2
158,cordoba,PODEMOS-IU-EQUO,70427,2
159,granada,PODEMOS-IU-EQUO,71466,2
160,huelva,PODEMOS-IU-EQUO,34396,2
161,jaen,PODEMOS-IU-EQUO,40880,2
162,malaga,PODEMOS-IU-EQUO,118537,2
163,sevilla,PODEMOS-IU-EQUO,179497,2
164,huesca,PODEMOS-IU-EQUO,17151,2
165,teruel,PODEMOS-IU-EQUO,8224,2
166,zaragoza,PODEMOS-IU-EQUO,77555,2
167,asturias,PODEMOS-IU-EQUO,107426,2
168,illesbalears,PODEMOS-IU-EQUO,92477,2
169,laspalmas,PODEMOS-IU-EQUO,91216,2
170,santacruzdetenerife,PODEMOS-IU-EQUO,75695,2
171,cantabria,PODEMOS-IU-EQUO,36784,2
172,albacete,PODEMOS-IU-EQUO,24855,2
173,ciudadreal,PODEMOS-IU-EQUO,26952,2
174,cuenca,PODEMOS-IU-EQUO,9482,2
175,guadalajara,PODEMOS-IU-EQUO,17524,2
176,toledo,PODEMOS-IU-EQUO,41934,2
177,avila,PODEMOS-IU-EQUO,7730,2
178,burgos,PODEMOS-IU-EQUO,27436,2
179,leon,PODEMOS-IU-EQUO,35103,2
180,palencia,PODEMOS-IU-EQUO,9787,2
181,salamanca,PODEMOS-IU-EQUO,16575,2
182,segovia,PODEMOS-IU-EQUO,8931,2
183,soria,PODEMOS-IU-EQUO,4481,2
184,valladolid,PODEMOS-IU-EQUO,39305,2
185,zamora,PODEMOS-IU-EQUO,9187,2
186,barcelona,PODEMOS-IU-EQUO,0,2
187,girona,PODEMOS-IU-EQUO,0,2
188,lleida,PODEMOS-IU-EQUO,0,2
189,tarragona,PODEMOS-IU-EQUO,0,2
190,badajoz,PODEMOS-IU-EQUO,38252,2
191,caceres,PODEMOS-IU-EQUO,24292,2
192,acoruña,PODEMOS-IU-EQUO,0,2
193,lugo,PODEMOS-IU-EQUO,0,2
194,ourense,PODEMOS-IU-EQUO,0,2
195,pontevedra,PODEMOS-IU-EQUO,0,2
196,madrid,PODEMOS-IU-EQUO,613911,2
197,navarra,PODEMOS-IU-EQUO,68393,2
198,araba_alava,PODEMOS-IU-EQUO,31469,2
199,gipuzkoa,PODEMOS-IU-EQUO,71296,2
200,bizkaia,PODEMOS-IU-EQUO,121740,2
201,murcia,PODEMOS-IU-EQUO,80053,2
202,larioja,PODEMOS-IU-EQUO,21331,2
203,alicante_alacant,PODEMOS-IU-EQUO,127615,2
204,castellon_castello,PODEMOS-IU-EQUO,43656,2
205,valencia_valencia,PODEMOS-IU-EQUO,211527,2
206,ceuta,PODEMOS-IU-EQUO,1838,2
207,melilla,PODEMOS-IU-EQUO,1292,2
208,almeria,VOX,62648,2
209,cadiz,VOX,87438,2
210,cordoba,VOX,56919,2
211,granada,VOX,73914,2
212,huelva,VOX,33920,2
213,jaen,VOX,46934,2
214,malaga,VOX,114199,2
215,sevilla,VOX,136949,2
216,huesca,VOX,13389,2
217,teruel,VOX,8336,2
218,zaragoza,VOX,70663,2
219,asturias,VOX,72018,2
220,illesbalears,VOX,58567,2
221,laspalmas,VOX,38229,2
222,santacruzdetenerife,VOX,31385,2
223,cantabria,VOX,40139,2
224,albacete,VOX,33948,2
225,ciudadreal,VOX,40313,2
226,cuenca,VOX,16755,2
227,guadalajara,VOX,23501,2
228,toledo,VOX,66927,2
229,avila,VOX,14623,2
230,burgos,VOX,24382,2
231,leon,VOX,33653,2
232,palencia,VOX,12407,2
233,salamanca,VOX,26631,2
234,segovia,VOX,11468,2
235,soria,VOX,4866,2
236,valladolid,VOX,45965,2
237,zamora,VOX,12887,2
238,barcelona,VOX,112019,2
239,girona,VOX,10715,2
240,lleida,VOX,6005,2
241,tarragona,VOX,20105,2
242,badajoz,VOX,44890,2
243,caceres,VOX,25903,2
244,acoruña,VOX,38187,2
245,lugo,VOX,11450,2
246,ourense,VOX,9984,2
247,pontevedra,VOX,27426,2
248,madrid,VOX,524176,2
249,navarra,VOX,17771,2
250,araba_alava,VOX,5608,2
251,gipuzkoa,VOX,6783,2
252,bizkaia,VOX,15839,2
253,murcia,VOX,143234,2
254,larioja,VOX,16255,2
255,alicante_alacant,VOX,115249,2
256,castellon_castello,VOX,37551,2
257,valencia_valencia,VOX,170070,2
