,codename,size,n_representative,election_id
2,almeria,500563,6,2
3,cadiz,1000037,9,2
4,cordoba,648790,6,2
5,granada,752991,7,2
6,huelva,397592,5,2
7,jaen,526911,5,2
8,malaga,1191841,11,2
9,sevilla,1544180,12,2
10,huesca,172644,3,2
11,teruel,107734,3,2
12,zaragoza,738231,7,2
13,asturias,974491,7,2
14,illesbalears,801721,8,2
15,laspalmas,868186,8,2
16,santacruzdetenerife,851896,7,2
17,cantabria,501411,5,2
18,albacete,310207,4,2
19,ciudadreal,396510,5,2
20,cuenca,155014,3,2
21,guadalajara,186507,3,2
22,toledo,524326,6,2
23,avila,137119,3,2
24,burgos,299337,4,2
25,leon,433575,4,2
26,palencia,141714,3,2
27,salamanca,306075,4,2
28,segovia,119616,3,2
29,soria,76861,2,2
30,valladolid,432563,5,2
31,zamora,169200,3,2
32,barcelona,4178927,32,2
33,girona,522860,6,2
34,lleida,314558,4,2
35,tarragona,571800,6,2
36,badajoz,555447,6,2
37,caceres,345155,4,2
38,acoruña,1087856,8,2
39,lugo,345038,4,2
40,ourense,361188,4,2
41,pontevedra,905041,7,2
42,madrid,5054955,37,2
43,navarra,511085,5,2
44,araba_alava,257797,4,2
45,gipuzkoa,583745,6,2
46,bizkaia,949442,8,2
47,murcia,1057296,10,2
48,larioja,249839,4,2
49,alicante_alacant,1272928,12,2
50,castellon_castello,419714,5,2
51,valencia_valencia,1964556,15,2
52,ceuta,62580,1,2
53,melilla,59233,1,2
