,codename,political_parties,votes
0,almeria,PSOE,89295
1,cadiz,PSOE,188271
2,cordoba,PSOE,146761
3,granada,PSOE,160190
4,huelva,PSOE,91656
5,jaen,PSOE,141737
6,malaga,PSOE,226831
7,sevilla,PSOE,380385
8,huesca,PSOE,38101
9,teruel,PSOE,18934
10,zaragoza,PSOE,158326
11,asturias,PSOE,186211
12,illesbalears,PSOE,115567
13,laspalmas,PSOE,141078
14,santacruzdetenerife,PSOE,132518
15,cantabria,PSOE,76028
16,albacete,PSOE,69848
17,ciudadreal,PSOE,92046
18,cuenca,PSOE,40670
19,guadalajara,PSOE,41167
20,toledo,PSOE,116282
21,avila,PSOE,24474
22,burgos,PSOE,64182
23,leon,PSOE,87896
24,palencia,PSOE,31847
25,salamanca,PSOE,57481
26,segovia,PSOE,25233
27,soria,PSOE,16043
28,valladolid,PSOE,94384
29,zamora,PSOE,32747
30,barcelona,PSOE,638319
31,girona,PSOE,52723
32,lleida,PSOE,29983
33,tarragona,PSOE,73641
34,badajoz,PSOE,142312
35,caceres,PSOE,85135
36,acoruña,PSOE,184178
37,lugo,PSOE,57537
38,ourense,PSOE,56934
39,pontevedra,PSOE,166377
40,madrid,PSOE,957401
41,navarra,PSOE,83734
42,araba_alava,PSOE,37488
43,gipuzkoa,PSOE,69342
44,bizkaia,PSOE,120566
45,murcia,PSOE,177154
46,larioja,PSOE,57485
47,alicante_alacant,PSOE,240202
48,castellon_castello,PSOE,84078
49,valencia_valencia,PSOE,375879
50,ceuta,PSOE,10455
51,melilla,PSOE,5087
52,almeria,PP,78072
53,cadiz,PP,111089
54,cordoba,PP,99999
55,granada,PP,105192
56,huelva,PP,49452
57,jaen,PP,82055
58,malaga,PP,163177
59,sevilla,PP,188166
60,huesca,PP,29804
61,teruel,PP,17520
62,zaragoza,PP,119909
63,asturias,PP,129945
64,illesbalears,PP,103722
65,laspalmas,PP,103375
66,santacruzdetenerife,PP,93434
67,cantabria,PP,84583
68,albacete,PP,58835
69,ciudadreal,PP,74835
70,cuenca,PP,33721
71,guadalajara,PP,30443
72,toledo,PP,94378
73,avila,PP,32527
74,burgos,PP,61228
75,leon,PP,74672
76,palencia,PP,34195
77,salamanca,PP,67715
78,segovia,PP,28057
79,soria,PP,15247
80,valladolid,PP,91857
81,zamora,PP,33495
82,barcelona,PP,225645
83,girona,PP,17449
84,lleida,PP,14697
85,tarragona,PP,29923
86,badajoz,PP,92742
87,caceres,PP,61527
