,codename,size,n_representative
2,almeria,502627,6
3,cadiz,1002295,9
4,cordoba,648341,6
5,granada,755007,7
6,huelva,399019,5
7,jaen,526659,5
8,malaga,1197688,11
9,sevilla,1547744,12
10,huesca,172722,3
11,teruel,107467,3
12,zaragoza,739573,7
13,asturias,972580,7
14,illesbalears,807170,8
15,laspalmas,871728,8
16,santacruzdetenerife,855138,7
17,cantabria,501676,5
18,albacete,309996,4
19,ciudadreal,395785,5
20,cuenca,154441,3
21,guadalajara,187371,3
22,toledo,525752,6
23,avila,136717,3
24,burgos,298989,4
25,leon,432073,4
26,palencia,141321,3
27,salamanca,305536,4
28,segovia,119492,3
29,soria,76827,2
30,valladolid,432655,5
31,zamora,168268,3
32,barcelona,4201151,32
33,girona,524978,6
34,lleida,314425,4
35,tarragona,574866,6
36,badajoz,554994,6
37,caceres,344445,4
38,acoruña,1087839,8
39,lugo,344446,4
40,ourense,360302,4
41,pontevedra,906111,7
42,madrid,5088093,37
43,navarra,512826,5
44,araba_alava,258495,4
45,gipuzkoa,584461,6
46,bizkaia,949598,8
47,murcia,1061841,10
48,larioja,250213,4
49,alicante_alacant,1276691,12
50,castellon_castello,420741,5
51,valencia_valencia,1970196,15
52,ceuta,62513,1
53,melilla,59497,1
