region,total_votes,valid_votes,cand_votes,party_initialis,votes
A Coruña,"672.772,00","667.447,00","662.442,00",PP,"287.997,00"
A Coruña,"672.772,00","667.447,00","662.442,00",PSdeG-PSOE,"188.184,00"
A Coruña,"672.772,00","667.447,00","662.442,00",SUMAR,"81.345,00"
A Coruña,"672.772,00","667.447,00","662.442,00",B.N.G.,"66.996,00"
A Coruña,"672.772,00","667.447,00","662.442,00",VOX,"33.606,00"
A Coruña,"672.772,00","667.447,00","662.442,00",PACMA,"2.814,00"
A Coruña,"672.772,00","667.447,00","662.442,00",FO,"963,00"
A Coruña,"672.772,00","667.447,00","662.442,00",RECORTESCERO,"537,00"
Alacant/Alicante,"904.381,00","895.189,00","888.631,00",PP,"329.167,00"
Alacant/Alicante,"904.381,00","895.189,00","888.631,00",PSOE,"286.424,00"
Alacant/Alicante,"904.381,00","895.189,00","888.631,00",VOX,"145.562,00"
Alacant/Alicante,"904.381,00","895.189,00","888.631,00",SUMAR -COMPROMÍS,"114.973,00"
Alacant/Alicante,"904.381,00","895.189,00","888.631,00",PACMA,"7.238,00"
Alacant/Alicante,"904.381,00","895.189,00","888.631,00",FO,"1.716,00"
Alacant/Alicante,"904.381,00","895.189,00","888.631,00",PARTIDOAUTÓNOMOS,"1.428,00"
Alacant/Alicante,"904.381,00","895.189,00","888.631,00",RECORTESCERO,"1.115,00"
Alacant/Alicante,"904.381,00","895.189,00","888.631,00",CJ,"1.008,00"
Albacete,"223.127,00","220.403,00","218.574,00",PP,"88.144,00"
Albacete,"223.127,00","220.403,00","218.574,00",PSOE,"75.969,00"
Albacete,"223.127,00","220.403,00","218.574,00",VOX,"36.698,00"
Albacete,"223.127,00","220.403,00","218.574,00",SUMAR,"15.677,00"
Albacete,"223.127,00","220.403,00","218.574,00",PACMA,"1.250,00"
Albacete,"223.127,00","220.403,00","218.574,00",FO,"372,00"
Albacete,"223.127,00","220.403,00","218.574,00",PUM+J,"280,00"
Albacete,"223.127,00","220.403,00","218.574,00",RECORTESCERO,"184,00"
Almería,"321.266,00","318.287,00","315.848,00",PP,"130.652,00"
Almería,"321.266,00","318.287,00","315.848,00",PSOE,"92.221,00"
Almería,"321.266,00","318.287,00","315.848,00",VOX,"67.963,00"
Almería,"321.266,00","318.287,00","315.848,00",SUMAR,"21.127,00"
Almería,"321.266,00","318.287,00","315.848,00",PACMA,"1.875,00"
Almería,"321.266,00","318.287,00","315.848,00",ALM,"792,00"
Almería,"321.266,00","318.287,00","315.848,00",FO,"473,00"
Almería,"321.266,00","318.287,00","315.848,00",PUM+J,"333,00"
Almería,"321.266,00","318.287,00","315.848,00",RECORTESCERO,"218,00"
Almería,"321.266,00","318.287,00","315.848,00",LB,"194,00"
Araba/Álava,"169.467,00","168.032,00","167.312,00",PSE-EE(PSOE),"46.476,00"
Araba/Álava,"169.467,00","168.032,00","167.312,00",EH Bildu,"32.844,00"
Araba/Álava,"169.467,00","168.032,00","167.312,00",PP,"29.985,00"
Araba/Álava,"169.467,00","168.032,00","167.312,00",EAJ-PNV,"27.936,00"
Araba/Álava,"169.467,00","168.032,00","167.312,00",SUMAR,"21.407,00"
Araba/Álava,"169.467,00","168.032,00","167.312,00",VOX,"6.500,00"
Araba/Álava,"169.467,00","168.032,00","167.312,00",PACMA,"760,00"
Araba/Álava,"169.467,00","168.032,00","167.312,00",ESCAÑOSENBLANCO,"607,00"
Araba/Álava,"169.467,00","168.032,00","167.312,00",FO,"349,00"
Araba/Álava,"169.467,00","168.032,00","167.312,00",RECORTESCERO,"184,00"
Araba/Álava,"169.467,00","168.032,00","167.312,00",PCTE,"158,00"
Araba/Álava,"169.467,00","168.032,00","167.312,00",PUM+J,"106,00"
Asturias,"594.442,00","588.384,00","582.413,00",PP,"209.581,00"
Asturias,"594.442,00","588.384,00","582.413,00",PSOE,"202.280,00"
Asturias,"594.442,00","588.384,00","582.413,00",SUMAR,"87.534,00"
Asturias,"594.442,00","588.384,00","582.413,00",VOX,"73.438,00"
Asturias,"594.442,00","588.384,00","582.413,00",PACMA,"2.996,00"
Asturias,"594.442,00","588.384,00","582.413,00",ASTURIASEXISTE EV,"2.248,00"
Asturias,"594.442,00","588.384,00","582.413,00",PCTE,"1.546,00"
Asturias,"594.442,00","588.384,00","582.413,00",FO,"1.158,00"
Asturias,"594.442,00","588.384,00","582.413,00",PUM+J,"712,00"
Asturias,"594.442,00","588.384,00","582.413,00",RECORTESCERO,"663,00"
Asturias,"594.442,00","588.384,00","582.413,00",PUEDE,"257,00"
Ávila,"98.237,00","97.090,00","96.470,00",PP,"42.105,00"
Ávila,"98.237,00","97.090,00","96.470,00",PSOE,"26.481,00"
Ávila,"98.237,00","97.090,00","96.470,00",VOX,"14.985,00"
Ávila,"98.237,00","97.090,00","96.470,00",XAV,"7.321,00"
Ávila,"98.237,00","97.090,00","96.470,00",SUMAR,"4.948,00"
Ávila,"98.237,00","97.090,00","96.470,00",PACMA,"259,00"
Ávila,"98.237,00","97.090,00","96.470,00",FO,"92,00"
Ávila,"98.237,00","97.090,00","96.470,00",PCTE,"82,00"
Ávila,"98.237,00","97.090,00","96.470,00",PUM+J,"79,00"
Ávila,"98.237,00","97.090,00","96.470,00",FE de lasJONS,"77,00"
Ávila,"98.237,00","97.090,00","96.470,00",RECORTESCERO,"41,00"
Badajoz,"396.721,00","390.053,00","386.836,00",PSOE,"152.922,00"
Badajoz,"396.721,00","390.053,00","386.836,00",PP,"147.685,00"
