,region,total_votes,valid_votes,cand_votes,party_initialis,votes
0,A Coruña,672772,667447,662442,PP,287997
1,A Coruña,672772,667447,662442,PSdeG-PSOE,188184
2,A Coruña,672772,667447,662442,PSOE,184178
3,A Coruña,672772,667447,662442,SUMAR,81345
4,A Coruña,672772,667447,662442,B.N.G.,66996
5,A Coruña,672772,667447,662442,VOX,33606
6,A Coruña,672772,667447,662442,PACMA,2814
7,A Coruña,672772,667447,662442,FO,963
8,A Coruña,672772,667447,662442,RECORTESCERO,537
9,Alacant/Alicante,904381,895189,888631,PP,329167
10,Alacant/Alicante,904381,895189,888631,PSOE,286424
11,Alacant/Alicante,904381,895189,888631,VOX,145562
12,Alacant/Alicante,904381,895189,888631,SUMAR -COMPROMÍS,114973
13,Alacant/Alicante,904381,895189,888631,PACMA,7238
14,Alacant/Alicante,904381,895189,888631,FO,1716
15,Alacant/Alicante,904381,895189,888631,PARTIDOAUTÓNOMOS,1428
16,Alacant/Alicante,904381,895189,888631,RECORTESCERO,1115
17,Alacant/Alicante,904381,895189,888631,CJ,1008
18,Albacete,223127,220403,218574,PP,88144
19,Albacete,223127,220403,218574,PSOE,75969
20,Albacete,223127,220403,218574,VOX,36698
21,Albacete,223127,220403,218574,SUMAR,15677
22,Albacete,223127,220403,218574,PACMA,1250
23,Albacete,223127,220403,218574,FO,372
24,Albacete,223127,220403,218574,PUM+J,280
25,Albacete,223127,220403,218574,RECORTESCERO,184
26,Almería,321266,318287,315848,PP,130652
27,Almería,321266,318287,315848,PSOE,92221
28,Almería,321266,318287,315848,VOX,67963
29,Almería,321266,318287,315848,SUMAR,21127
30,Almería,321266,318287,315848,PACMA,1875
31,Almería,321266,318287,315848,ALM,792
32,Almería,321266,318287,315848,FO,473
33,Almería,321266,318287,315848,PUM+J,333
34,Almería,321266,318287,315848,RECORTESCERO,218
35,Almería,321266,318287,315848,LB,194
36,Araba/Álava,169467,168032,167312,PSE-EE(PSOE),46476
37,Araba/Álava,169467,168032,167312,(PSOE),37488
38,Araba/Álava,169467,168032,167312,EH Bildu,32844
39,Araba/Álava,169467,168032,167312,PP,29985
40,Araba/Álava,169467,168032,167312,EAJ-PNV,27936
41,Araba/Álava,169467,168032,167312,SUMAR,21407
42,Araba/Álava,169467,168032,167312,VOX,6500
43,Araba/Álava,169467,168032,167312,PACMA,760
44,Araba/Álava,169467,168032,167312,ESCAÑOSENBLANCO,607
45,Araba/Álava,169467,168032,167312,FO,349
46,Araba/Álava,169467,168032,167312,RECORTESCERO,184
47,Araba/Álava,169467,168032,167312,PCTE,158
48,Araba/Álava,169467,168032,167312,PUM+J,106
49,Asturias,594442,588384,582413,PP,209581
50,Asturias,594442,588384,582413,PSOE,202280
51,Asturias,594442,588384,582413,SUMAR,87534
52,Asturias,594442,588384,582413,VOX,73438
53,Asturias,594442,588384,582413,PACMA,2996
54,Asturias,594442,588384,582413,ASTURIASEXISTE EV,2248
55,Asturias,594442,588384,582413,PCTE,1546
56,Asturias,594442,588384,582413,FO,1158
57,Asturias,594442,588384,582413,PUM+J,712
58,Asturias,594442,588384,582413,RECORTESCERO,663
59,Asturias,594442,588384,582413,PUEDE,257
60,Ávila,98237,97090,96470,PP,42105
61,Ávila,98237,97090,96470,PSOE,26481
62,Ávila,98237,97090,96470,VOX,14985
63,Ávila,98237,97090,96470,XAV,7321
64,Ávila,98237,97090,96470,SUMAR,4948
65,Ávila,98237,97090,96470,PACMA,259
66,Ávila,98237,97090,96470,FO,92
67,Ávila,98237,97090,96470,PCTE,82
68,Ávila,98237,97090,96470,PUM+J,79
69,Ávila,98237,97090,96470,FE de lasJONS,77
70,Ávila,98237,97090,96470,JONS,61
71,Ávila,98237,97090,96470,RECORTESCERO,41
72,Badajoz,396721,390053,386836,PSOE,152922
73,Badajoz,396721,390053,386836,PP,147685
74,Badajoz,396721,390053,386836,VOX,53304
75,Badajoz,396721,390053,386836,SUMAR,26576
76,Badajoz,396721,390053,386836,BQEX,3859
77,Badajoz,396721,390053,386836,PACMA,1372
78,Badajoz,396721,390053,386836,FO,469
79,Badajoz,396721,390053,386836,PUM+J,448
80,Badajoz,396721,390053,386836,RECORTESCERO,201
