id,votes,pp_id,region_election_id
6970,287997,2,141
6972,188184,1,141
6974,81345,204,141
6976,66996,17,141
6978,33606,3,141
6980,2814,20,141
6982,963,209,141
6984,537,205,141
6994,88144,2,121
6995,75969,1,121
6996,36698,3,121
6997,15677,204,121
6998,1250,20,121
6999,372,209,121
7000,280,23,121
7001,184,205,121
6985,329167,2,152
6986,286424,1,152
6987,145562,3,152
6988,114973,203,152
6989,7238,20,152
6990,1716,209,152
6991,1428,183,152
6992,1115,205,152
6993,1008,211,152
7002,130652,2,105
7003,92221,1,105
7004,67963,3,105
7005,21127,204,105
7006,1875,20,105
7007,792,207,105
7008,473,209,105
7009,333,23,105
7010,218,205,105
7011,194,208,105
7012,46476,1,147
7013,32844,10,147
7014,29985,2,147
7015,27936,9,147
7016,21407,204,147
7017,6500,3,147
7018,760,20,147
7019,607,33,147
7020,349,209,147
7021,184,205,147
7022,158,28,147
7023,106,23,147
7024,209581,2,116
7025,202280,1,116
7026,87534,204,116
7027,73438,3,116
7028,2996,20,116
7029,2248,210,116
7030,1546,28,116
7031,1158,209,116
7032,712,23,116
7033,663,205,116
7034,257,206,116
7035,42105,2,126
7036,26481,1,126
7037,14985,3,126
7038,7321,35,126
7039,4948,204,126
7040,259,20,126
7041,92,209,126
7042,82,28,126
7043,79,23,126
7044,77,56,126
7045,41,205,126
7046,152922,1,139
7047,147685,2,139
7048,53304,3,139
7049,26576,204,139
7050,3859,212,139
7051,1372,20,139
7052,469,209,139
7053,448,23,139
7054,201,205,139
7055,946055,1,135
7056,402527,202,135
7057,363857,2,135
7058,326388,176,135
7059,256231,7,135
7060,200138,3,135
7061,66656,12,135
7062,27874,20,135
7063,24216,177,135
7064,5989,209,135
7065,2976,205,135
7066,2783,28,135
7067,163508,9,149
7068,156639,1,149
7069,125418,10,149
7070,69771,2,149
7071,66189,204,149
7072,15760,3,149
7073,2676,20,149
7074,923,209,149
7075,792,23,149
7076,604,28,149
7077,521,205,149
7078,81626,2,127
7079,69060,1,127
7080,25577,3,127
7081,17249,204,127
7082,1739,178,127
7083,1156,210,127
7084,888,20,127
7085,477,209,127
7086,348,28,127
7087,336,23,127
7088,151,205,127
7089,91034,1,140
7090,89251,2,140
7091,31878,3,140
7092,16170,204,140
7093,1895,212,140
7094,934,179,140
7095,789,20,140
7096,314,209,140
7097,226,23,140
7098,113,205,140
7099,221020,2,106
7100,210596,1,106
7101,96391,3,106
7102,81544,204,106
7103,9064,180,106
7104,5867,20,106
7105,1209,209,106
7106,736,211,106
7107,657,23,106
7108,484,205,106
7109,145937,2,120
7110,115554,1,120
7111,48788,3,120
7112,29270,204,120
7113,2017,20,120
7114,772,209,120
7115,574,28,120
7116,525,205,120
7117,107824,2,153
7118,99856,1,153
7119,48762,3,153
7120,43720,203,153
7121,1944,20,153
7122,848,209,153
7123,490,205,153
7124,232,56,153
7125,12885,2,155
7126,11299,1,155
7127,7742,3,155
7128,812,204,155
7129,52,209,155
7130,52,208,155
7131,33,205,155
7132,29,23,155
7133,114443,2,122
7134,99800,1,122
7135,45942,3,122
7136,17256,204,122
7137,1288,20,122
7138,439,209,122
7139,360,23,122
7140,232,205,122
7141,169356,2,107
7142,143291,1,107
7143,62264,3,107
7144,61063,204,107
7145,2649,20,107
7146,928,33,107
7147,726,28,107
7148,692,209,107
7149,586,23,107
7150,390,205,107
7151,45159,2,123
7152,42358,1,123
7153,17660,3,123
7154,6282,204,123
7155,377,20,123
7156,207,209,123
7157,168,33,123
7158,106,23,123
7159,97,28,123
7160,58,205,123
7161,116414,10,148
7162,86711,1,148
7163,84338,9,148
7164,39435,204,148
7165,32033,2,148
7166,7683,3,148
